2024-04-24 08:40:20.090 AM | error | Validation error | url: /api/auth/register | method: POST | body: {"username":"jokeay1","email":"test1@gmail.com","password":"123"} | user: undefined 

2024-04-24 08:40:49.352 AM | error | Validation error | url: /api/auth/register | method: POST | body: {"username":"jokeay1","email":"test1@gmail.com","password":"123"} | user:  

2024-04-24 09:01:42 AM | error | Validation error | url: /api/auth/register | method: POST | body: {"username":"jokeay1","email":"test1@gmail.com","password":"123"} | userId:  

2024-04-24 09:06:46 AM | error | Validation error | url: /api/auth/register | method: POST | body: {"username":"jokeay1","email":"test1@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:07:03 AM | error | Validation error | url: /api/auth/register | method: POST | body: {"username":"jokeay1","email":"test1@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:10:34 AM | error | Expected ',' or '}' after property value in JSON at position 43 | url: /api/auth/login | method: POST | body: {} | userId:  | 

2024-04-24 09:10:49 AM | info | Mật khẩu không đúng | url: /api/auth/login | method: POST | body: {"email":"anhvh2208@gmail.com","password":"1123"} | userId:  | 

2024-04-24 09:10:55 AM | error | Validation error | url: /api/auth/register | method: POST | body: {"username":"jokeay1","email":"test1@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:10:55 AM | info | There is already a record with email = test1@gmail.com. Please use another value! | url: /api/auth/register | method: POST | body: {"username":"jokeay1","email":"test1@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:11:36 AM | error | Validation error | url: /api/auth/register | method: POST | body: {"username":"jokeay1","email":"test1@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:11:36 AM | info | There is already a record with email = test1@gmail.com. Please use another value! | url: /api/auth/register | method: POST | body: {"username":"jokeay1","email":"test1@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:20:29 AM | info | Login successfully | url: undefined | method: undefined | body: undefined | userId:  | 

2024-04-24 09:20:49 AM | info | Login successfully | url: undefined | method: undefined | body: undefined | userId:  | 

2024-04-24 09:22:12 AM | info | info | url: undefined | method: undefined | body: undefined | userId:  | 

2024-04-24 09:22:41 AM | info | Login successfully | url: undefined | method: undefined | body: undefined | userId:  | 

2024-04-24 09:24:39 AM | info | Login successfully | url: /login | method: POST | body: {"email":"anhvh2208@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:28:08 AM | info | Mật khẩu không đúng | url: /api/auth/login | method: POST | body: {"email":"anhvh2208@gmail.com","password":"1231"} | userId:  | 

2024-04-24 09:30:14 AM | info | Login successfully | url: /register | method: POST | body: {"username":"jokeay2","email":"test2@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:30:50 AM | info | Register | url: /register | method: POST | body: {"username":"jokeay2","email":"test3@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:32:01 AM | info | Login | url: /login | method: POST | body: {"email":"anhvh2208@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:37:20 AM | info | Login | url: /login | method: POST | body: {"email":"anhvh2208@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:38:24 AM | info | Register | url: /register | method: POST | body: {"username":"jokeay2","email":"test3@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:38:38 AM | info | Delete User | url: /6254730d-2837-4335-94e3-40f0700f0669 | method: DELETE | body: {} | userId: fd136760-af4e-47bd-9d78-d738dfae9955 | 

2024-04-24 09:39:40 AM | info | User Update | url: /anhvh2208@gmail.com | method: PUT | body: {"avatar":"111111"} | userId: fd136760-af4e-47bd-9d78-d738dfae9955 | 

2024-04-24 09:45:16 AM | info | Login | url: /login | method: POST | body: {"email":"anhvh2208@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:45:30 AM | info | User get info | url: /anhvh2208@gmail.com | method: GET | body: {} | userId: fd136760-af4e-47bd-9d78-d738dfae9955 | 

2024-04-24 09:45:50 AM | info | User get info | url: /anhvh2208@gmail.com | method: GET | body: {} | userId: fd136760-af4e-47bd-9d78-d738dfae9955 | 

2024-04-24 09:47:30 AM | info | Login | url: /login | method: POST | body: {"email":"anhvh2208@gmail.com","password":"123"} | userId:  | 

2024-04-24 09:48:04 AM | info | Admin create List Schema | url: /create | method: POST | body: {"title":"Top Action Movie","type":"Movie","genre":"Action"} | userId: fd136760-af4e-47bd-9d78-d738dfae9955 | 

2024-04-24 09:49:19 AM | info | Login | url: /login | method: POST | body: {"email":"anhvh2208@gmail.com","password":"123"} | userId:  | 

